delay,freq,comdition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,text.started,text.stopped,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.7,1000,exp,0,0,0,11,168.64454809999734,None,169.63879599999927,None,space,0.8173266000085277,169.63879599999927,None,171.17179121999797,None,171.49282539999695,None,171.49282539999695,None,171.49282539999695,None,1,[9.180388499997207],[9.18040270000347],039964,001,2023-10-27_11h57.46.621,labinpsych tut7,2022.1.4,59.98242514828256,
0.1,400,unexp,0,1,1,0,180.67264079999586,None,181.66960259999905,None,space,1.8636283999949228,181.66960259999905,None,183.63587971999513,None,183.95043320000696,None,183.95043320000696,None,183.95043320000696,None,2,"[9.180388499997207, 8.8782421000069]","[9.18040270000347, 8.878250099995057]",039964,001,2023-10-27_11h57.46.621,labinpsych tut7,2022.1.4,59.98242514828256,
0.4,1000,exp,0,2,2,4,192.83434339999803,None,193.81726409999828,None,space,1.8893652999977348,193.81726409999828,None,196.1168470199933,None,196.42987180000637,None,196.42987180000637,None,196.42987180000637,None,3,"[9.180388499997207, 8.8782421000069, 6.6791768000111915]","[9.18040270000347, 8.878250099995057, 6.679184599997825]",039964,001,2023-10-27_11h57.46.621,labinpsych tut7,2022.1.4,59.98242514828256,
0.1,1000,exp,0,3,3,6,203.11533600000257,None,204.09854829999676,None,space,0.3889233000081731,204.09854829999676,None,204.59830532000487,None,204.9099200000055,None,204.9099200000055,None,204.9099200000055,None,4,"[9.180388499997207, 8.8782421000069, 6.6791768000111915, 17.47804790000373]","[9.18040270000347, 8.878250099995057, 6.679184599997825, 17.47807769999781]",039964,001,2023-10-27_11h57.46.621,labinpsych tut7,2022.1.4,59.98242514828256,
,,,,,,,222.39498589999857,None,223.37821070000064,None,space,1.0681611000036355,223.37821070000064,None,224.86129132000642,None,,,,,,,,,,,,,,,,
